Trigger level set at [mV], -0.030
C1_t[ns],C1_V[mV],C2_t[ns],C2_V[mV],C3_t[ns],C3_V[mV],C4_t[ns],C4_V[mV]
 46.094,   -3.3, 46.094,   -5.3, 46.094,   -5.5, 46.094,   -6.4
 46.289,   -2.2, 46.289,   -4.7, 46.289,   -8.0, 46.289,   -8.9
 46.484,   -4.1, 46.484,   -5.2, 46.484,   -7.0, 46.484,   -6.1
 46.680,   -3.3, 46.680,   -6.1, 46.680,   -7.3, 46.680,   -9.0
 46.875,   -4.4, 46.875,   -5.7, 46.875,   -3.8, 46.875,   -5.0
 47.070,   -4.4, 47.070,   -6.2, 47.070,   -4.1, 47.070,   -5.8
 47.266,   -4.7, 47.266,   -4.7, 47.266,   -2.0, 47.266,   -3.0
 47.461,   -2.7, 47.461,   -3.7, 47.461,   -4.6, 47.461,   -5.3
 47.656,   -2.8, 47.656,   -2.6, 47.656,   -4.2, 47.656,   -4.3
 47.852,    0.2, 47.852,   -2.0, 47.852,   -7.7, 47.852,   -8.3
 48.047,   -0.6, 48.047,   -1.7, 48.047,   -6.6, 48.047,   -6.9
 48.242,   -0.8, 48.242,   -3.3, 48.242,   -8.0, 48.242,   -8.8
 48.438,   -2.7, 48.438,   -3.7, 48.438,   -5.1, 48.438,   -5.7
 48.633,   -1.6, 48.633,   -4.9, 48.633,   -5.9, 48.633,   -8.1
 48.828,   -4.3, 48.828,   -5.4, 48.828,   -5.1, 48.828,   -6.6
 49.023,   -3.3, 49.023,   -5.8, 49.023,   -7.5, 49.023,   -8.5
 49.219,   -5.4, 49.219,   -5.5, 49.219,   -6.8, 49.219,   -7.1
 49.414,   -5.3, 49.414,   -6.6, 49.414,   -8.2, 49.414,   -7.9
 49.609,   -6.0, 49.609,   -6.2, 49.609,   -6.7, 49.609,   -6.7
 49.805,   -4.0, 49.805,   -6.6, 49.805,   -7.8, 49.805,   -7.5
 50.000,   -5.2, 50.000,   -5.7, 50.000,   -4.9, 50.000,   -4.3
 50.195,   -3.6, 50.195,   -6.0, 50.195,   -5.9, 50.195,   -6.3
 50.391,   -4.7, 50.391,   -5.4, 50.391,   -4.7, 50.391,   -3.9
 50.586,   -3.6, 50.586,   -5.6, 50.586,   -7.5, 50.586,   -6.8
 50.781,   -3.7, 50.781,   -4.5, 50.781,   -6.1, 50.781,   -5.7
 50.977,   -1.8, 50.977,   -3.3, 50.977,   -7.4, 50.977,   -7.8
 51.172,   -3.4, 51.172,   -3.4, 51.172,   -5.5, 51.172,   -6.0
 51.367,   -1.6, 51.367,   -3.6, 51.367,   -6.4, 51.367,   -7.2
 51.562,   -4.5, 51.562,   -4.2, 51.562,   -4.9, 51.562,   -5.5
 51.758,   -2.8, 51.758,   -5.2, 51.758,   -5.2, 51.758,   -6.5
 51.953,   -6.1, 51.953,   -6.1, 51.953,   -4.3, 51.953,   -5.5
 52.148,   -4.3, 52.148,   -6.7, 52.148,   -6.0, 52.148,   -7.7
 52.344,   -5.3, 52.344,   -6.5, 52.344,   -6.6, 52.344,   -6.1
 52.539,   -4.0, 52.539,   -7.2, 52.539,   -8.9, 52.539,   -9.8
